Ca B      1056.91A    0.475    0.0184
#
O  8      1065.32A   -0.420    0.0023
Ca B      1065.32A   -0.420    0.0023
#
O  8      1084.18A   -0.354    0.0027
Ca B      1084.18A   -0.354    0.0027
#
O  8      1106.96A   -0.285    0.0032
Ca B      1106.96A   -0.285    0.0032
#
O  8      1134.89A   -0.211    0.0038
Ca B      1134.89A   -0.211    0.0038
#
O  8      1169.76A   -0.132    0.0045
Ca B      1169.76A   -0.132    0.0045
#
O  8      1171.79A    0.605    0.0248
Ca B      1171.79A    0.605    0.0248
#
O  8      1214.28A   -0.047    0.0055
Ca B      1214.28A   -0.047    0.0055
#
O  8      1272.74A    0.044    0.0068
Ca B      1272.74A    0.044    0.0068
#
O  8      1341.23A   -0.706    0.0012
Ca B      1341.23A   -0.706    0.0012
#
O  8      1352.27A    0.143    0.0086
Ca B      1352.27A    0.143    0.0086
#
O  8      1361.02A   -0.649    0.0014
Ca B      1361.02A   -0.649    0.0014
#
O  8      1367.19A    0.752    0.0348
Ca B      1367.19A    0.752    0.0348
#
O  8      1384.29A   -0.589    0.0016
Ca B      1384.29A   -0.589    0.0016
#
O  8      1411.96A   -0.526    0.0018
Ca B      1411.96A   -0.526    0.0018
#
O  8      1445.29A   -0.460    0.0021
Ca B      1445.29A   -0.460    0.0021
#
O  8      1465.81A    0.251    0.0110
Ca B      1465.81A    0.251    0.0110
#
O  8      1486.06A   -0.390    0.0025
Ca B      1486.06A   -0.390    0.0025
#
O  8      1536.83A   -0.315    0.0030
Ca B      1536.83A   -0.315    0.0030
#
O  8      1601.48A   -0.235    0.0036
Ca B      1601.48A   -0.235    0.0036
#
O  8      1639.28A    0.370    0.0144
Ca B      1639.28A    0.370    0.0144
#
O  8      1686.12A   -0.149    0.0044
Ca B      1686.12A   -0.149    0.0044
#
O  8      1721.94A   -0.806    0.0010
Ca B      1721.94A   -0.806    0.0010
#
O  8      1754.69A   -0.748    0.0011
Ca B      1754.69A   -0.748    0.0011
#
O  8      1764.95A    0.920    0.0512
Ca B      1764.95A    0.920    0.0512
#
O  8      1800.97A   -0.057    0.0054
