C  6      2.11520m   -2.266    0.0007
Ca B      2.11520m   -2.266    0.0007
#
C  6      2.12128m   -2.077    0.0011
Ca B      2.12128m   -2.077    0.0011
#
C  6      2.22670m   -1.874    0.0017
Ca B      2.22670m   -1.874    0.0017
#
C  6      2.44678m   -2.391    0.0005
Ca B      2.44678m   -2.391    0.0005
#
C  6      2.46271m   -1.062    0.0109
Ca B      2.46271m   -1.062    0.0109
#
C  6      2.47956m   -2.210    0.0008
Ca B      2.47956m   -2.210    0.0008
#
C  6      2.57042m   -1.659    0.0028
Ca B      2.57042m   -1.659    0.0028
#
C  6      2.63475m   -2.018    0.0012
Ca B      2.63475m   -2.018    0.0012
#
C  6      2.87580m   -2.337    0.0006
Ca B      2.87580m   -2.337    0.0006
#
C  6      3.08589m   -1.815    0.0019
Ca B      3.08589m   -1.815    0.0019
#
C  6      3.08960m   -2.154    0.0009
Ca B      3.08960m   -2.154    0.0009
#
C  6      3.10373m   -1.260    0.0069
Ca B      3.10373m   -1.260    0.0069
#
C  6      3.31188m   -2.459    0.0004
Ca B      3.31188m   -2.459    0.0004
#
C  6      3.59378m   -2.284    0.0007
Ca B      3.59378m   -2.284    0.0007
#
C  6      3.66587m   -1.963    0.0014
Ca B      3.66587m   -1.963    0.0014
#
C  6      3.84720m   -1.445    0.0045
Ca B      3.84720m   -1.445    0.0045
#
C  6      4.14983m   -2.409    0.0005
Ca B      4.14983m   -2.409    0.0005
#
C  6      4.31416m   -2.104    0.0010
Ca B      4.31416m   -2.104    0.0010
#
C  6      4.70073m   -1.617    0.0030
Ca B      4.70073m   -1.617    0.0030
#
C  6      5.03455m   -2.237    0.0007
Ca B      5.03455m   -2.237    0.0007
#
C  6      5.67190m   -1.779    0.0021
Ca B      5.67190m   -1.779    0.0021
#
C  6      6.70681m   -2.486    0.0004
Ca B      6.70681m   -2.486    0.0004
#
C  6      6.76830m   -1.932    0.0015
Ca B      6.76830m   -1.932    0.0015
#
C  6      7.66628m   -2.603    0.0003
Ca B      7.66628m   -2.603    0.0003
#
C  6      7.99751m   -2.077    0.0011
Ca B      7.99751m   -2.077    0.0011
#
C  6      9.36714m   -2.214    0.0008
Ca B      9.36714m   -2.214    0.0008
#
C  6      10.8848m   -2.345    0.0006
Ca B      10.8848m   -2.345    0.0006
#
C  6      12.5580m   -2.470    0.0004
Ca B      12.5580m   -2.470    0.0004
#
C  6      14.3944m   -2.589    0.0003
Ca B      14.3944m   -2.589    0.0003
#
C  6      16.4015m   -2.703    0.0002
Ca B      16.4015m   -2.703    0.0002
#
