He 2      3.14474m   -3.897    0.0010
Ca B      3.14474m   -3.897    0.0010
#
He 2      3.15071m   -4.423    0.0003
Ca B      3.15071m   -4.423    0.0003
#
He 2      3.29488m   -4.353    0.0004
Ca B      3.29488m   -4.353    0.0004
#
He 2      3.48320m   -4.279    0.0004
Ca B      3.48320m   -4.279    0.0004
#
He 2      3.48930m   -4.846    0.0001
Ca B      3.48930m   -4.846    0.0001
#
He 2      3.54349m   -3.803    0.0013
Ca B      3.54349m   -3.803    0.0013
#
He 2      3.57374m   -4.790    0.0001
Ca B      3.57374m   -4.790    0.0001
#
He 2      3.67507m   -4.733    0.0002
Ca B      3.67507m   -4.733    0.0002
#
He 2      3.73816m   -4.201    0.0005
Ca B      3.73816m   -4.201    0.0005
#
He 2      3.79853m   -4.672    0.0002
Ca B      3.79853m   -4.672    0.0002
#
He 2      3.95169m   -4.609    0.0002
Ca B      3.95169m   -4.609    0.0002
#
He 2      4.04967m   -3.329    0.0039
Ca B      4.04967m   -3.329    0.0039
#
He 2      4.10029m   -4.119    0.0006
Ca B      4.10029m   -4.119    0.0006
#
He 2      4.14594m   -4.543    0.0002
Ca B      4.14594m   -4.543    0.0002
#
He 2      4.21744m   -3.704    0.0016
Ca B      4.21744m   -3.704    0.0016
#
He 2      4.37364m   -4.955    0.0001
Ca B      4.37364m   -4.955    0.0001
#
He 2      4.39923m   -4.473    0.0003
Ca B      4.39923m   -4.473    0.0003
#
He 2      4.50712m   -4.900    0.0001
Ca B      4.50712m   -4.900    0.0001
#
He 2      4.65079m   -4.032    0.0008
Ca B      4.65079m   -4.032    0.0008
#
He 2      4.66951m   -4.842    0.0001
Ca B      4.66951m   -4.842    0.0001
#
He 2      4.74150m   -4.400    0.0003
Ca B      4.74150m   -4.400    0.0003
#
He 2      4.76241m   -2.903    0.0103
Ca B      4.76241m   -2.903    0.0103
#
He 2      4.87065m   -4.782    0.0001
Ca B      4.87065m   -4.782    0.0001
#
He 2      5.12536m   -4.719    0.0002
Ca B      5.12536m   -4.719    0.0002
#
He 2      5.22677m   -4.323    0.0004
Ca B      5.22677m   -4.323    0.0004
#
He 2      5.44825m   -5.057    0.0001
Ca B      5.44825m   -5.057    0.0001
#
He 2      5.45698m   -4.654    0.0002
Ca B      5.45698m   -4.654    0.0002
#
He 2      5.57930m   -3.942    0.0009
Ca B      5.57930m   -3.942    0.0009
#
He 2      5.58152m   -3.603    0.0021
Ca B      5.58152m   -3.603    0.0021
#
He 2      5.65694m   -5.002    0.0001
Ca B      5.65694m   -5.002    0.0001
#
He 2      5.90442m   -4.585    0.0002
Ca B      5.90442m   -4.585    0.0002
#
He 2      5.91512m   -4.944    0.0001
Ca B      5.91512m   -4.944    0.0001
#
He 2      5.96316m   -4.243    0.0005
Ca B      5.96316m   -4.243    0.0005
#
He 2      6.24164m   -4.884    0.0001
Ca B      6.24164m   -4.884    0.0001
#
He 2      6.53784m   -4.513    0.0003
Ca B      6.53784m   -4.513    0.0003
#
He 2      6.66618m   -4.822    0.0001
Ca B      6.66618m   -4.822    0.0001
#
He 2      6.76764m   -5.151    0.0001
Ca B      6.76764m   -5.151    0.0001
#
He 2      6.94637m   -3.227    0.0049
Ca B      6.94637m   -3.227    0.0049
#
He 2      7.09267m   -5.096    0.0001
Ca B      7.09267m   -5.096    0.0001
#
He 2      7.20315m   -4.159    0.0006
Ca B      7.20315m   -4.159    0.0006
#
He 2      7.23827m   -4.757    0.0001
Ca B      7.23827m   -4.757    0.0001
#
He 2      7.45507m   -3.850    0.0012
Ca B      7.45507m   -3.850    0.0012
#
He 2      7.49767m   -4.438    0.0003
Ca B      7.49767m   -4.438    0.0003
#
He 2      7.50328m   -5.039    0.0001
Ca B      7.50328m   -5.039    0.0001
#
He 2      8.03657m   -4.980    0.0001
Ca B      8.03657m   -4.980    0.0001
#
He 2      8.04715m   -4.689    0.0002
Ca B      8.04715m   -4.689    0.0002
#
He 2      8.41085m   -5.240    0.0000
Ca B      8.41085m   -5.240    0.0000
#
He 2      8.75443m   -4.918    0.0001
Ca B      8.75443m   -4.918    0.0001
#
He 2      8.91881m   -5.185    0.0001
Ca B      8.91881m   -5.185    0.0001
#
He 2      9.11176m   -4.360    0.0004
